id,date,longitude,latitude
1TAG4,2016-10-02,-5.688478035,9.161241348
1TAH1,2016-10-10,-5.50700967714286,9.39198671785714
1TAH2,2016-10-10,-5.50710418214286,9.39249271714286
1TAH3,2016-10-10,-5.50649951857143,9.39289816785714
1TAH4,2016-10-10,-5.50648975428571,9.39336894928571
1TAK1,2016-09-27,-5.60630756583333,9.32532524416667
1TAK2,2016-09-27,-5.60615170083333,9.32336700583333
1TAK3,2016-09-27,-5.60568310166667,9.32751549333333
1TAK4,2016-09-27,-5.60309804083333,9.3270752475
1YAY1,2016-09-29,-5.499899895,8.988799495
1YAY2,2016-09-29,-5.50009085,8.98903029
1YAY3,2016-09-29,-5.499347015,8.98903433
1YAY4,2016-09-29,-5.49959904,8.98967352
1YEN1,2016-09-26,-5.58957901428571,9.35304929571429
1YEN2,2016-09-26,-5.588385005,9.352950525
1YEN3,2016-09-26,-5.58717500214286,9.35139257642857
1YEN4,2016-09-26,-5.58683232857143,9.353457535
2BAP1,2016-12-04,-5.66852926,9.236650835
2BAP2,2016-12-04,-5.66778331,9.23614931
2BAP3,2016-12-04,-5.66848182,9.23777462
2BAP4,2016-12-04,-5.66873972,9.23722267
2FEL1,2016-11-30,-5.471699245,9.45040861
2FEL2,2016-11-30,-5.47198184,9.449938115
2FEL3,2016-11-30,-5.47011819,9.44898054
2FEL4,2016-11-30,-5.47029484,9.44994706
2FLA1,2016-11-20,-5.610587125,9.29445942
2FLA2,2016-11-20,-5.60972708,9.29622612
2FLA3,2016-11-20,-5.6099638,9.29719233
2FLA4,2016-11-20,-5.61098693,9.29594334
2GUE1,2016-11-22,-5.54944417,9.27167544
2GUE2,2016-11-22,-5.54873946,9.27127887
2GUE3,2016-11-22,-5.54837989,9.27193107
2GUE4,2016-11-22,-5.54925159,9.272498845
2KAG1,2016-11-18,-5.53522842,9.28180416
2KAG2,2016-11-18,-5.53626545,9.28145989
2KAG3,2016-11-18,-5.53586727,9.28258158
2KAG4,2016-11-18,-5.5347601,9.28275013
2KAR1,2016-12-02,-5.710835835,8.9916161875
2KAR2,2016-12-02,-5.70983784666667,8.99156339833333
2KAR3,2016-12-02,-5.71058492,8.99110834916667
2KAR4,2016-12-02,-5.71143603666667,8.99169962833333
2KAT1,2016-12-06,-5.73815019928571,9.23411684285714
2KAT2,2016-12-06,-5.73954485571429,9.23414937714286
2KAT3,2016-12-06,-5.73968959357143,9.23490835714286
2KAT4,2016-12-06,-5.73971747214286,9.23520145571429
2KOG1,2016-12-06,-5.761024615,9.25666678
2KOG2,2016-12-06,-5.76112816,9.25536065
2KOG3,2016-12-06,-5.760082095,9.255451895
2KOG4,2016-12-06,-5.759294985,9.254715765
2KOL1,2016-11-24,-5.523485185,9.28824894
2KOL2,2016-11-24,-5.523585885,9.28743274
2KOL3,2016-11-24,-5.52552605,9.28846907
2KOL4,2016-11-24,-5.523949145,9.28939704
2KON1,2016-11-30,-5.5144238175,9.44058895833333
2KON2,2016-11-30,-5.513951125,9.44029203333333
2KON3,2016-11-30,-5.51303026583333,9.44086020833333
2KON4,2016-11-30,-5.51351073833333,9.4407645675
2LAG1,2016-11-20,-5.5679011,9.296939
2LAG2,2016-11-20,-5.56720228,9.2983402
2LAG3,2016-11-20,-5.56665726,9.29932399
2LAG4,2016-11-20,-5.56826138,9.297860395
2LAT1,2016-12-06,-5.75626117714286,9.21072940142857
2LAT2,2016-12-06,-5.75620111642857,9.21001811071429
2LAT3,2016-12-06,-5.75682068714286,9.21018547642857
2LAT4,2016-12-06,-5.75719180214286,9.21064417785714
2LLO1,2016-11-26,-5.58327134333333,9.2797753425
2LLO2,2016-11-26,-5.58431591333333,9.2789203875
2LLO3,2016-11-26,-5.58143104833333,9.27937994416667
2LLO4,2016-11-26,-5.58008103333333,9.279904285
2LOK1,2016-11-26,-5.60688449,9.18642286
2LOK2,2016-11-26,-5.605484175,9.18601435
2LOK3,2016-11-26,-5.60436125,9.18670062
2LOK4,2016-11-26,-5.60515094,9.187994375
2MOR1,2016-11-28,-5.56989535666667,9.39734754666667
2MOR2,2016-11-28,-5.57180193166667,9.39787047416667
2MOR3,2016-11-28,-5.57213192166667,9.3987190425
2MOR4,2016-11-28,-5.57147364916667,9.39873548083333
2NAA1,2016-11-24,-5.6085953,9.32786607
2NAA2,2016-11-24,-5.60928307,9.32639038
2NAA3,2016-11-24,-5.610638055,9.327949095
2NAA4,2016-11-24,-5.61136152,9.326845455
2NAK1,2016-12-02,-5.748389234,9.059742788
2NAK2,2016-12-02,-5.748215311,9.060272663
2NAK3,2016-12-02,-5.747999344,9.060559069
2NAK4,2016-12-02,-5.748355465,9.060641134
2NAL1,2016-11-18,-5.48621237,9.03241825571429
2NAL2,2016-11-18,-5.48637298642857,9.03115794785714
2NAL3,2016-11-18,-5.48744362142857,9.031841355
2NAL4,2016-11-18,-5.48664172714286,9.03324055214286
2NOK1,2016-11-30,-5.6138509225,9.25179285
2NOK2,2016-11-30,-5.61399263,9.2512367175
2NOK3,2016-11-30,-5.61440911,9.25159459
2NOK4,2016-11-30,-5.6142762025,9.252568075
2NON1,2016-11-28,-5.56666887,9.3930167
2NON2,2016-11-28,-5.565791045,9.39301166
2NON3,2016-11-28,-5.56537906,9.39202599
2NON4,2016-11-28,-5.56678742,9.3919452
2NOT1,2016-11-28,-5.618425995,9.257507885
2NOT2,2016-11-28,-5.61850067,9.258066519
2NOT3,2016-11-28,-5.617148276,9.258640667
2NOT4,2016-11-28,-5.617655918,9.256244921
2NOU1,2016-12-04,-5.778425008,9.168051922
2NOU2,2016-12-04,-5.779228565,9.167392602
2NOU3,2016-12-04,-5.779148992,9.167072104
2NOU4,2016-12-04,-5.779912312,9.167013259
2NOW1,2016-11-22,-5.51658182,9.486687725
2NOW2,2016-11-22,-5.51636434,9.48588381
2NOW3,2016-11-22,-5.51669382,9.484635495
2NOW4,2016-11-22,-5.51724059,9.48489425
2PEN1,2016-11-22,-5.51589353416667,9.25318813333333
2PEN2,2016-11-22,-5.51565196916667,9.25403526833333
2PEN3,2016-11-22,-5.5143863375,9.25334081333333
2PEN4,2016-11-22,-5.5134638725,9.25354487
2PES1,2016-11-20,-5.48801708142857,9.50676131
2PES2,2016-11-20,-5.48825179714286,9.50493338142857
2PES3,2016-11-20,-5.48808181857143,9.50418413785714
2PES4,2016-11-20,-5.48701689142857,9.50522515428571
2TAG1,2016-12-04,-5.687781118,9.159901502
2TAG2,2016-12-04,-5.687130629,9.16026292
2TAG3,2016-12-04,-5.687874654,9.160922255
2TAG4,2016-12-04,-5.688478035,9.161241348
2TAH1,2016-12-02,-5.49937538,9.39458989
2TAH2,2016-12-02,-5.49912551,9.39428489
2TAH3,2016-12-02,-5.49855709,9.39416829
2TAH4,2016-12-02,-5.49899996,9.394456655
2TAK1,2016-11-26,-5.606301305,9.325347065
2TAK2,2016-11-26,-5.6061575,9.32331675
2TAK3,2016-11-26,-5.605666835,9.32752181
2TAK4,2016-11-26,-5.603104155,9.327090965
2YAY1,2016-11-24,-5.49992028,8.988784075
2YAY2,2016-11-24,-5.50009678,8.98898845
2YAY3,2016-11-24,-5.49934492,8.989057465
2YAY4,2016-11-24,-5.49961954,8.98970904
2YEN1,2016-11-18,-5.589600415,9.353063805
2YEN2,2016-11-18,-5.588377945,9.35295328
2YEN3,2016-11-18,-5.587186685,9.35134862
2YEN4,2016-11-18,-5.586834895,9.35347603
3BAP1,2017-03-02,-5.66839540333333,9.2366912725
3BAP2,2017-03-02,-5.66780197833333,9.23615473083333
3BAP3,2017-03-02,-5.66848381166667,9.23779825833333
3BAP4,2017-03-02,-5.66878022416667,9.23723094833333
3FEL1,2017-02-24,-5.47168405,9.45040623
3FEL2,2017-02-24,-5.47201339,9.4499197
3FEL3,2017-02-24,-5.47011827,9.448950055
3FEL4,2017-02-24,-5.470308705,9.44992713
3FLA1,2017-02-16,-5.610568735,9.29445307
3FLA2,2017-02-16,-5.60971738,9.29623232
3FLA3,2017-02-16,-5.60996897,9.297172035
3FLA4,2017-02-16,-5.61098722,9.29592647
3GUE1,2017-02-16,-5.54941853833333,9.27167217416667
3GUE2,2017-02-16,-5.5488062125,9.27124895666667
3GUE3,2017-02-16,-5.54840122833333,9.27192859333333
3GUE4,2017-02-16,-5.54925254583333,9.2724406975
3KAG1,2017-02-14,-5.5352363,9.28180494
3KAG2,2017-02-14,-5.53629216,9.28146615
3KAG3,2017-02-14,-5.53586966,9.28260413
3KAG4,2017-02-14,-5.53479125,9.28274797
3KAR1,2017-02-28,-5.710835835,8.9916161875
3KAR2,2017-02-28,-5.70983784666667,8.99156339833333
3KAR3,2017-02-28,-5.71058492,8.99110834916667
3KAR4,2017-02-28,-5.71143603666667,8.99169962833333
3KAT1,2017-02-28,-5.738124535,9.234125105
3KAT2,2017-02-28,-5.73950018,9.234079555
3KAT3,2017-02-28,-5.73898959,9.23494692
3KAT4,2017-02-28,-5.74006836,9.23522422
3KOG1,2017-03-04,-5.761014585,9.256690015
3KOG2,2017-03-04,-5.761159415,9.255373225
3KOG3,2017-03-04,-5.760077625,9.255434925
3KOG4,2017-03-04,-5.75926224,9.25471642
3KOL1,2017-02-14,-5.523485185,9.28824894
3KOL2,2017-02-14,-5.523585885,9.28743274
3KOL3,2017-02-14,-5.52552605,9.28846907
3KOL4,2017-02-14,-5.523949145,9.28939704
3KON1,2017-02-22,-5.5144238175,9.44058895833333
3KON2,2017-02-22,-5.513951125,9.44029203333333
3KON3,2017-02-22,-5.51303026583333,9.44086020833333
3KON4,2017-02-22,-5.51351073833333,9.4407645675
3LAG1,2017-02-14,-5.56793298333333,9.29689968166667
3LAG2,2017-02-14,-5.56719790166667,9.29832805
3LAG3,2017-02-14,-5.56665294583333,9.29930602166667
3LAG4,2017-02-14,-5.56823423333333,9.29785740583333
3LAT1,2017-03-04,-5.756261,9.210729
3LAT2,2017-03-04,-5.756201,9.210018
3LAT3,2017-03-04,-5.756844265,9.210212555
3LAT4,2017-03-04,-5.75718756,9.21066971
3LLO1,2017-02-16,-5.58327134333333,9.2797753425
3LLO2,2017-02-16,-5.58431591333333,9.2789203875
3LLO3,2017-02-16,-5.58143104833333,9.27937994416667
3LLO4,2017-02-16,-5.58008103333333,9.279904285
3LOK1,2017-02-20,-5.60684231,9.186436575
3LOK2,2017-02-20,-5.6054995,9.18600599
3LOK3,2017-02-20,-5.60435673,9.18672219
3LOK4,2017-02-20,-5.605135185,9.187998265
3MOR1,2017-02-22,-5.56988938,9.39735462
